Image,Latitude,Longitude,Date
01838,-37.688014246972216,144.9432466046389,2017-02-22
01839,-37.681003421499994,144.90303642394446,2017-02-22
01840,-37.68449558844444,144.91556694580555,2017-02-22
01841,-37.68110008675,144.9041616712778,2017-02-22
01842,-37.68414043033333,144.91453006172222,2017-02-22
01843,-37.681748716777776,144.90982239805555,2017-02-22
01844,-37.68159083055556,144.9087182495278,2017-02-22
01845,-37.68862756211111,144.94965086066668,2017-02-22
01846,-37.68852994080555,144.94852454511113,2017-02-22
01847,-37.687166121749996,144.93551782419445,2017-02-22
01848,-37.68601421202777,144.92635800913888,2017-02-22
01849,-37.68703238925,144.93439928972222,2017-02-22
01850,-37.68616413136111,144.9274717503611,2017-02-22
01851,-37.68098244294444,144.8849808419722,2017-02-22
01852,-37.68071115769444,144.88961158252778,2017-02-22
01853,-37.680632689527776,144.88601251666665,2017-02-22
01854,-37.680623157638884,144.88848165302778,2017-02-22
01855,-37.685428061472216,144.92142871294445,2017-02-22
01856,-37.68556789575,144.92254775994442,2017-02-22
01857,-37.68133438663889,144.90706692597223,2017-02-22
01858,-37.68150599027778,144.90816984,2017-02-22
01859,-37.68076735222222,144.90056422408333,2017-02-22
01860,-37.680831714916664,144.9016929098889,2017-02-22
01861,-37.68628814708333,144.92836213274998,2017-02-22
01862,-37.68642451736111,144.92948133330555,2017-02-22
01863,-37.68916257313889,144.95458537888888,2017-02-22
01864,-37.68092437572222,144.89661113205554,2017-02-22
01865,-37.688846211249995,144.95213099819443,2017-02-22
01866,-37.68930345725,144.95570000902777,2017-02-22
01867,-37.68096317847222,144.89548189697223,2017-02-22
01868,-37.688737158416664,144.9510052248889,2017-02-22
01869,-37.682949512916665,144.91301206755557,2017-02-22
01870,-37.683659727055556,144.91372028969445,2017-02-22
01871,-37.680824275444444,144.89932198963888,2017-02-22
01872,-37.68086756788889,144.89819304108332,2017-02-22
01873,-37.686506627499995,144.93015247922222,2017-02-22
01874,-37.686645107749996,144.93127052169444,2017-02-22
01875,-37.68734063955555,144.93697160625,2017-02-22
01876,-37.68747664680555,144.93808896372224,2017-02-22
01877,-37.68829877272222,144.94616442883333,2017-02-22
01878,-37.688416990777775,144.94728657002779,2017-02-22
01879,-37.68854082580555,144.94863699,2017-02-22
01880,-37.688635818638886,144.94976377191668,2017-02-22
01881,-37.6816071165,144.90882787136113,2017-02-22
01882,-37.68176518047222,144.90993319433335,2017-02-22
01883,-37.68617902841666,144.92758315333333,2017-02-22
01884,-37.687045466361106,144.93451127677778,2017-02-22
01885,-37.686027859166664,144.9264697355833,2017-02-22
01886,-37.68717892238889,144.93562967747224,2017-02-22
01887,-37.68800245597222,144.9431345925,2017-02-22
01888,-37.687883020777775,144.94201470958333,2017-02-22
01889,-37.684097488861106,144.9144309245,2017-02-22
01890,-37.681096332277775,144.90404869408334,2017-02-22
01891,-37.68446328483333,144.91546179891668,2017-02-22
01892,-37.68099105552778,144.90292397261112,2017-02-22
01893,-37.68482183013889,144.91720274802776,2017-02-22
01894,-37.684988628861106,144.9183099353611,2017-02-22
01895,-37.68685424708333,144.93294603208332,2017-02-22
01896,-37.68699021608333,144.93406413083335,2017-02-22
01897,-37.68935482027778,144.95671150266665,2017-02-22
01898,-37.68867153308333,144.95021531891666,2017-02-22
01899,-37.68929160327777,144.9555880674722,2017-02-22
01900,-37.68876919969444,144.95134308497222,2017-02-22
01901,-37.680866237,144.88528420966665,2017-02-22
01902,-37.68070391972222,144.88949827491666,2017-02-22
01903,-37.68805949991666,144.94369526644445,2017-02-22
01904,-37.68114263613889,144.88422765677777,2017-02-22
01905,-37.68078916877778,144.89062827491665,2017-02-22
01906,-37.688175271722216,144.94481535369445,2017-02-22
01907,-37.68759300880555,144.9394385798889,2017-02-22
01908,-37.68770489766666,144.94056570808334,2017-02-22
01909,-37.68201715855555,144.9113683823889,2017-02-22
01910,-37.68244956711111,144.91235778633333,2017-02-22
01911,-37.68941252216666,144.95750218102776,2017-02-22
01912,-37.68099614602777,144.89458015902778,2017-02-22
01913,-37.68097635466666,144.89345150783333,2017-02-22
01914,-37.68187866411111,144.9107119221389,2017-02-22
01915,-37.68171671630555,144.90960088158334,2017-02-22
01916,-37.68592405708333,144.92545742797222,2017-02-22
01917,-37.68727353983333,144.93641241244444,2017-02-22
01918,-37.68604328075,144.92658122727778,2017-02-22
01919,-37.687139360888885,144.93529421319445,2017-02-22
01920,-37.68778103758333,144.94123492547223,2017-02-22
01921,-37.68792146869444,144.94235002177777,2017-02-22
01922,-37.680577645,144.88791703966666,2017-02-22
01923,-37.68052982955555,144.88678843708334,2017-02-22
01924,-37.68470138130555,144.9164297363889,2017-02-22
01925,-37.68088273302777,144.90214256880557,2017-02-22
01926,-37.684430126277775,144.91535691563888,2017-02-22
01927,-37.681027418444444,144.90326130041666,2017-02-22
01928,-37.68110083194444,144.90461422744445,2017-02-22
01929,-37.68117185013889,144.90573609172222,2017-02-22
01930,-37.688925634777775,144.95291754844445,2017-02-22
01931,-37.68907214497222,144.95403284252777,2017-02-22
